policy_id,policy_name,policy_type,description,benefits,coverage_amount,premium,duration_years,risk_level,target_age_group
18,Travel Insurance Plan 908,Travel,Edge even author be race draw spend network effort court most outside play population available.,"staff, many, however, operation, maybe",161866,38311,20,High,18-30
19,Life Insurance Plan 821,Life,Might small top always always performance visit.,"maybe, green, professor, quite, again",1196350,28279,20,High,18-30
20,Home Insurance Plan 647,Home,Body clearly west live increase peace together determine who power share affect front couple.,"return, become, chair, pass, still",317785,17674,15,Low,65+
21,Health Insurance Plan 375,Health,Manage discover history collection mention place service.,"land, beat, billion, little, accept",480535,35369,5,Low,51-65
22,Life Insurance Plan 458,Life,Listen plan I tough result himself rest chair less account according.,"meet, resource, during, oil, would",249911,44986,1,Medium,51-65
23,Life Insurance Plan 595,Life,Pick fear edge charge participant condition back reveal water up yeah around up.,"hope, strategy, wish, democratic, quite",98396,8955,20,Low,65+
24,Life Insurance Plan 246,Life,Town general computer away single by condition good.,"else, bit, kind, measure, most",108218,5249,10,Low,18-30
25,Life Insurance Plan 581,Life,Attack most event strategy huge few suffer money.,"still, reach, performance, tax, station",1870037,19045,1,High,65+
26,Travel Insurance Plan 692,Travel,Movie reality decision treat practice away admit now finish develop.,"ten, little, agent, medical, thought",805987,44439,20,Low,51-65
27,Health Insurance Plan 951,Health,Himself make trade lot cell leader computer success.,"particularly, side, prove, down, have",1413176,16804,15,Low,51-65
28,Travel Insurance Plan 917,Travel,Other fly method seat head old cover image health really season wide each use this.,"hold, offer, hope, result, feel",123238,35915,15,Low,18-30
29,Health Insurance Plan 355,Health,Keep money course where lay officer door student add nice southern window especially personal price.,"image, rate, most, quickly, face",1377609,31828,15,Medium,51-65
30,Home Insurance Plan 107,Home,This ground else condition seat all though reveal create water grow meeting its.,"visit, clearly, paper, imagine, kind",431428,3024,5,High,18-30
31,Travel Insurance Plan 641,Travel,Least even next dog total individual instead day argue training myself should family.,"arrive, pay, daughter, tonight, attorney",1685201,33871,15,Low,51-65
32,Health Insurance Plan 565,Health,Along place either audience try the stand media piece often whole themselves decision.,"less, none, husband, couple, task",299389,31802,15,High,31-50
33,Vehicle Insurance Plan 421,Vehicle,Research truth firm window change total history civil reason body shake low.,"in, alone, nice, according, ready",1298999,26988,1,High,31-50
34,Education Insurance Plan 455,Education,Medical conference bill across similar present stand beyond may per role every best few.,"sure, laugh, beyond, something, week",1911822,21669,1,Medium,65+
35,Life Insurance Plan 963,Life,Hair new police specific right individual compare before hospital charge on interview series leave.,"leg, human, no, arm, short",1927519,39192,5,High,65+
36,Travel Insurance Plan 574,Travel,Stuff trouble after person move him better machine study no early work somebody year.,"difference, compare, discussion, building, lead",99816,20229,5,Low,51-65
37,Life Insurance Plan 220,Life,Entire statement despite significant yourself plant represent west perform present begin.,"full, region, investment, miss, big",1800995,38984,15,Low,51-65
38,Life Insurance Plan 774,Life,Environment design impact within keep return pick responsibility knowledge drop fly military last.,"north, front, everyone, crime, reality",1252474,28968,20,Low,18-30
39,Health Insurance Plan 773,Health,Instead this administration Congress prevent brother able nature PM thousand ever pretty throw painting act.,"commercial, wear, commercial, write, maintain",852883,24517,20,Low,65+
40,Home Insurance Plan 894,Home,Attention because leader push learn increase without surface.,"couple, why, blue, now, talk",466803,46227,10,High,31-50
41,Health Insurance Plan 475,Health,Brother up always mission measure school recently design food west though again several enjoy.,"head, business, product, west, whatever",193714,41858,5,Medium,18-30
42,Home Insurance Plan 933,Home,Natural season fear land live less others good however one develop.,"off, guy, water, performance, get",984949,35767,1,High,18-30
43,Health Insurance Plan 289,Health,Rise man serious specific modern body type line idea country group have action candidate save.,"mind, forget, firm, help, deal",159836,24301,20,Low,51-65
44,Vehicle Insurance Plan 687,Vehicle,Try federal focus accept listen expect record suffer analysis ok like.,"since, reveal, mind, gun, body",890071,37756,20,Medium,65+
45,Travel Insurance Plan 758,Travel,Each oil grow shoulder detail event language year issue huge into group cold happy movement.,"yourself, believe, help, support, knowledge",769401,24361,10,Low,65+
46,Life Insurance Plan 914,Life,Interview let there media system system particularly institution participant executive every southern know.,"feel, body, member, off, natural",1432661,33031,20,Low,18-30
47,Health Insurance Plan 768,Health,Imagine financial total art parent method dog myself recognize about customer professional share wall others.,"attorney, Democrat, this, entire, around",837221,25977,1,Low,65+
48,Health Insurance Plan 267,Health,Audience training church kind area director method wind political poor even beat something crime him.,"program, among, relate, one, democratic",632487,25183,15,Medium,65+
49,Education Insurance Plan 194,Education,Section citizen recognize suffer fight too son.,"ok, number, tree, best, often",1340176,23635,15,Low,31-50
50,Health Insurance Plan 270,Health,Choose can at idea executive wish home end senior join let.,"ever, member, run, player, natural",749230,20936,5,High,31-50
51,Vehicle Insurance Plan 624,Vehicle,Crime step after development soldier out fight happen.,"system, still, measure, source, listen",506328,40956,5,Medium,65+
52,Travel Insurance Plan 443,Travel,Number business research receive those possible learn million factor may.,"within, who, attorney, far, home",592800,47667,10,High,18-30
53,Education Insurance Plan 895,Education,Himself prevent audience direction north draw member need benefit tree fly focus truth soon agency.,"which, water, sometimes, whole, when",993308,7913,1,Low,18-30
54,Travel Insurance Plan 158,Travel,Officer arrive administration physical operation you medical report choice.,"clearly, market, game, clear, sense",824232,18008,1,Medium,31-50
55,Health Insurance Plan 300,Health,She knowledge page lot necessary under service space statement day four pick set.,"way, yet, general, work, section",1512327,6256,20,Medium,65+
56,Life Insurance Plan 254,Life,Character start simple its down yes firm technology ball.,"shoulder, most, prove, same, course",207631,10562,20,Low,31-50
57,Vehicle Insurance Plan 905,Vehicle,Sister throughout college government prevent think child mean bit sometimes structure indeed tend book.,"sound, that, letter, wrong, job",1286263,31971,15,Low,31-50
58,Home Insurance Plan 332,Home,More will record peace size fight compare.,"suddenly, son, security, then, treatment",1184404,4241,5,Medium,51-65
59,Education Insurance Plan 385,Education,Top marriage free final my concern school analysis receive.,"and, site, evidence, player, what",1216247,25487,10,High,18-30
60,Travel Insurance Plan 428,Travel,Training onto police treat situation list single.,"hand, upon, between, five, collection",1210607,43856,15,Low,31-50
61,Health Insurance Plan 150,Health,Black center go across factor suggest and claim enjoy task.,"into, be, choose, social, your",1816571,40732,20,High,18-30
62,Home Insurance Plan 451,Home,Concern blood wide help case practice pay if become us.,"instead, easy, organization, network, both",58118,11061,15,Low,51-65
63,Health Insurance Plan 937,Health,Budget professor fine entire add exist year him security.,"church, section, pick, program, painting",1196629,8748,1,High,31-50
64,Travel Insurance Plan 170,Travel,Ability agree particular financial describe performance consider career her hear development trade.,"late, you, care, me, blood",1670680,8248,1,High,31-50
65,Home Insurance Plan 412,Home,Should dinner test region hundred range front dark ok green serve away.,"leader, when, effort, door, point",1754750,44885,15,Low,65+
66,Health Insurance Plan 474,Health,Book coach only back sense eight the water often relationship again site drive adult.,"here, light, key, thank, side",1979970,39951,1,Low,31-50
67,Life Insurance Plan 783,Life,Of whole billion quite show single central behavior size president detail off key full compare.,"four, employee, home, wish, firm",720497,47912,10,High,51-65
68,Travel Insurance Plan 395,Travel,Indeed strategy nothing occur behind fact beat practice effect him born drug ago item sister dream.,"card, opportunity, whatever, of, money",939917,49403,10,Medium,31-50
69,Home Insurance Plan 500,Home,Call ten central wide choose stuff capital role difficult cause recognize difference type.,"left, relationship, inside, something, process",1195241,45852,20,Medium,18-30
70,Education Insurance Plan 654,Education,Population compare loss team pick one step help care by look bring always professor follow letter.,"general, case, let, law, though",1040002,43603,5,High,51-65
71,Health Insurance Plan 605,Health,Far speech style them culture indicate herself culture.,"what, run, letter, staff, outside",1711669,36347,5,Medium,18-30
72,Life Insurance Plan 946,Life,In fish expect law agent how price short street scientist before of east describe.,"soldier, oil, product, loss, responsibility",968679,30513,10,High,18-30
73,Education Insurance Plan 371,Education,Hand inside who security court energy draw send goal consider.,"art, deep, either, hospital, plant",1033238,4822,20,High,18-30
74,Travel Insurance Plan 518,Travel,Beautiful member apply ever no current treat push individual remember can program might husband.,"wonder, thing, attack, number, shoulder",1715995,31718,1,Medium,31-50
75,Life Insurance Plan 172,Life,Two TV vote radio evening activity home budget measure reality put many receive leg.,"garden, sometimes, wear, once, shake",774437,42142,10,Medium,31-50
76,Education Insurance Plan 448,Education,Movement stand with water rule result would want none charge often a form certain.,"gun, them, white, but, its",770654,13179,15,Low,65+
77,Home Insurance Plan 345,Home,Attorney significant after weight majority yes establish idea system measure may either type.,"project, seek, write, up, traditional",1778466,42220,1,Medium,31-50
78,Life Insurance Plan 510,Life,Very strategy official local product product water check several.,"help, even, paper, hot, strong",794120,14257,20,Low,18-30
79,Life Insurance Plan 999,Life,Pm senior wide above contain stage receive guess oil threat upon wear decade Mrs product also.,"every, always, amount, three, economic",653347,22846,10,Medium,51-65
80,Education Insurance Plan 560,Education,Stop week catch decision almost media perhaps power future of sport later.,"through, new, eye, degree, age",1018432,47866,10,Medium,51-65
81,Health Insurance Plan 745,Health,Report share like professor its whole eye break let take stage current.,"with, various, most, mother, visit",1850697,30635,1,High,65+
82,Life Insurance Plan 226,Life,Worry perform believe chance television wall smile individual factor team bar pick.,"everyone, thus, still, against, TV",1933177,47032,20,Medium,51-65
83,Home Insurance Plan 203,Home,Rise probably their decision adult each rate company none sense anyone unit movement foreign walk little.,"truth, mean, analysis, pay, affect",500400,17947,20,Low,65+
84,Education Insurance Plan 219,Education,Loss say value during that safe myself now after.,"under, enough, pretty, leave, race",1549034,16818,10,High,65+
85,Health Insurance Plan 508,Health,Friend do friend artist professional establish in easy argue how professor sometimes language collection.,"scientist, wear, spring, marriage, report",1260433,8485,5,High,51-65
86,Home Insurance Plan 952,Home,General before hope world despite pattern make hope agree.,"letter, go, partner, society, her",1430829,45612,5,Medium,65+
87,Education Insurance Plan 118,Education,Theory join loss military structure nothing happen growth prepare western think section enough scientist real model.,"key, change, early, identify, general",1121211,4236,10,Medium,51-65
88,Travel Insurance Plan 459,Travel,Remember finally artist to employee base democratic.,"appear, public, another, order, personal",107562,2282,20,Low,31-50
89,Health Insurance Plan 159,Health,Per other debate station rather pull good stand available leader south serious opportunity along.,"term, century, magazine, several, maintain",1713647,2633,15,High,18-30
90,Home Insurance Plan 240,Home,Whom lead front much decade bad wife task safe performance.,"back, remember, create, eye, plan",332989,10564,20,High,18-30
91,Health Insurance Plan 334,Health,Full white sport bank property various thousand get.,"stand, order, because, both, quality",1098460,30489,5,Low,65+
92,Vehicle Insurance Plan 125,Vehicle,Way cultural whose ball sell forward go station.,"could, choose, because, letter, choose",697018,2354,15,High,18-30
93,Travel Insurance Plan 933,Travel,Left order nothing contain reveal series democratic ten member southern well responsibility sport account close.,"heavy, beautiful, western, popular, true",1018950,18864,20,Low,51-65
94,Life Insurance Plan 277,Life,Child wrong simply agree window exist mouth do big lot process cut week sense manager.,"herself, try, seem, face, soldier",1737352,26285,1,Low,18-30
95,Education Insurance Plan 141,Education,Town crime price institution American land hear road certainly star yet sport.,"member, full, environment, organization, stuff",596796,29524,1,Low,65+
96,Education Insurance Plan 190,Education,Wall whole energy study off miss people fund since cultural.,"PM, take, successful, simple, turn",658164,29074,10,High,31-50
97,Travel Insurance Plan 579,Travel,Beyond ask hotel available religious medical city nothing reveal today low.,"might, table, easy, bed, economic",1475953,40856,10,Low,65+
98,Vehicle Insurance Plan 911,Vehicle,Challenge provide member responsibility still guy live leg stage throughout reality nothing production art six.,"create, fight, miss, blue, feel",666621,18812,1,Medium,65+
99,Health Insurance Plan 765,Health,Always modern long low board really great financial natural question far.,"at, west, pay, very, cultural",1638548,23091,10,Medium,18-30
100,Education Insurance Plan 880,Education,Program stay season sometimes Mrs both couple child require business southern.,"particular, model, none, hand, house",352612,15417,20,High,65+
101,Health Insurance Plan 399,Health,Chair move nor also whatever fight you really and figure surface approach debate gun war.,"onto, memory, summer, happen, Republican",445954,34152,10,Medium,51-65
102,Education Insurance Plan 759,Education,Girl tough face play word brother reason down station.,"big, part, house, instead, hand",1995534,11533,10,Medium,51-65
103,Life Insurance Plan 216,Life,Movement week knowledge may magazine study pretty war interesting defense.,"develop, piece, late, fall, though",933491,1912,20,Medium,31-50
104,Life Insurance Plan 671,Life,Save design forget important go court same.,"threat, final, reach, play, must",754059,34718,15,Medium,65+
105,Travel Insurance Plan 350,Travel,Away that more gun forget score size message.,"administration, degree, once, center, glass",1455158,2837,5,High,51-65
106,Vehicle Insurance Plan 956,Vehicle,Nearly traditional office nothing decade those product speech style hand week.,"far, rock, his, occur, thing",1100593,36930,20,Low,51-65
107,Health Insurance Plan 338,Health,Cause then various good forward reveal town fill someone character mean off baby who item entire.,"college, test, else, thank, medical",525286,43165,20,Medium,65+
108,Health Insurance Plan 143,Health,Impact staff hour factor certain choose need game simple pressure attack garden food let.,"only, itself, save, question, both",1024975,40903,15,Medium,31-50
109,Vehicle Insurance Plan 121,Vehicle,Cut life window hospital but education easy sea nation.,"water, up, hospital, nearly, deep",1951539,24673,20,Medium,51-65
110,Education Insurance Plan 323,Education,Professional ever upon bank few mouth party natural next whom mother score expert voice tonight whether.,"organization, action, far, speak, including",1895840,14021,10,Medium,65+
111,Vehicle Insurance Plan 657,Vehicle,True both phone close edge possible budget.,"level, hot, sell, reach, for",252438,34437,15,High,31-50
112,Home Insurance Plan 233,Home,Would fine over all at travel hear ten left.,"region, hear, vote, unit, from",192748,17876,5,High,18-30
113,Health Insurance Plan 233,Health,Area I include medical science water run grow deal official none.,"share, west, movement, today, executive",436865,24872,20,Medium,65+
114,Travel Insurance Plan 884,Travel,Task reach clearly reflect open garden occur develop include environment see protect like between.,"read, future, national, natural, impact",838581,32906,1,High,31-50
115,Life Insurance Plan 710,Life,Thus big energy develop serve way common keep street address for.,"kind, writer, science, argue, peace",1392753,32252,10,Low,18-30
116,Education Insurance Plan 709,Education,Whose some treatment mission face daughter father woman.,"ask, effect, knowledge, rule, institution",1678278,13238,1,High,18-30
117,Life Insurance Plan 669,Life,Note million hospital her couple class action.,"push, country, heart, quality, never",672722,18821,10,High,31-50
118,Vehicle Insurance Plan 917,Vehicle,Minute mother former strong treatment defense heart send last dog international too already child.,"more, candidate, mouth, protect, out",184854,1520,10,High,31-50
119,Health Insurance Plan 897,Health,Decision garden add suddenly baby door consumer toward likely finally factor care quite.,"option, time, receive, conference, side",899116,19211,20,High,31-50
120,Vehicle Insurance Plan 316,Vehicle,Turn easy name attack method personal attention there public left bill.,"play, radio, development, place, product",785506,44648,15,Medium,18-30
121,Health Insurance Plan 315,Health,Represent face world old any article fall voice finish.,"out, democratic, best, culture, store",1598122,10939,10,High,18-30
122,Life Insurance Plan 618,Life,Outside everyone over heart wind may go every upon.,"cover, officer, matter, statement, indicate",722546,32585,5,Low,31-50
123,Home Insurance Plan 386,Home,Become relationship skin red should by sell question although.,"box, skin, third, movie, like",1128582,31462,15,Low,65+
124,Life Insurance Plan 623,Life,Than star including until animal look season state result pull hand behavior.,"difficult, though, we, rock, doctor",342882,24583,20,High,18-30
125,Health Insurance Plan 270,Health,Less mean key lead life probably particularly really service eye line within her material mean.,"pull, pressure, image, back, cultural",1247466,20826,1,High,31-50
126,Life Insurance Plan 314,Life,Finish likely year enjoy hundred view which building five middle voice head day.,"player, fill, technology, program, again",1733110,31260,5,High,31-50
127,Life Insurance Plan 221,Life,Tend foot hear chair goal call left then book media almost close interview not.,"choice, fly, would, avoid, reach",1564382,33729,20,Medium,65+
128,Education Insurance Plan 819,Education,Add financial authority American return same save available production.,"break, couple, story, main, modern",505588,29218,15,High,31-50
129,Education Insurance Plan 423,Education,By our will year hand environment enter along they throughout beautiful central everybody pretty.,"force, prove, hand, avoid, if",362369,24268,1,Medium,51-65
130,Travel Insurance Plan 356,Travel,Military law between beautiful develop glass evening city them.,"civil, too, great, issue, difficult",713024,39303,5,High,18-30
131,Home Insurance Plan 126,Home,Type yard watch can continue happy use husband parent.,"good, religious, couple, wait, culture",940580,36567,15,Medium,18-30
132,Travel Insurance Plan 976,Travel,Capital medical also adult general view born until particularly body defense cell glass who music though.,"choose, top, own, particular, east",608632,16653,15,Low,31-50
133,Health Insurance Plan 371,Health,Student foot speech anything per final recently sea specific girl wrong family manager power word its.,"happy, travel, impact, view, question",1772560,22456,10,High,51-65
134,Health Insurance Plan 542,Health,Also board red natural go impact market week beat best article important toward clearly.,"court, face, understand, according, movie",1512901,23601,15,Low,18-30
135,Life Insurance Plan 627,Life,Interview economy side military effect vote pass approach.,"ever, pass, drop, modern, himself",604420,13783,1,High,51-65
136,Home Insurance Plan 888,Home,Character marriage car old improve very remain improve yet now in four contain this decade.,"bring, exactly, kitchen, this, career",1783838,7736,20,High,65+
137,Vehicle Insurance Plan 363,Vehicle,Ask dinner reduce throughout analysis answer want these dog rock answer glass plant first reason.,"natural, side, notice, available, because",383477,37762,10,Low,18-30
138,Vehicle Insurance Plan 856,Vehicle,Similar evidence deal style each agency ever parent agency.,"apply, capital, purpose, give, budget",1922768,6454,20,High,65+
139,Travel Insurance Plan 849,Travel,Remember why customer to some authority night term material cold light current computer food.,"particularly, voice, rock, provide, strategy",374165,11311,5,High,18-30
140,Life Insurance Plan 613,Life,Despite bring choice decision a foreign including fire simple environment person give fast newspaper as.,"media, yeah, benefit, way, city",1194487,37775,10,Low,65+
141,Travel Insurance Plan 111,Travel,Teacher film bring claim girl push style method throw must meeting push reflect simply.,"matter, these, shake, month, every",1947236,26877,10,Low,51-65
142,Health Insurance Plan 514,Health,Population same including wife to cultural development remain challenge my improve especially.,"man, believe, low, stage, ability",1737036,2372,20,Medium,65+
143,Vehicle Insurance Plan 585,Vehicle,Person purpose look add with many company when phone model bad evidence likely.,"certain, voice, usually, oil, growth",83885,15372,10,High,65+
144,Travel Insurance Plan 449,Travel,Both treatment opportunity professional growth challenge smile either never rest score through central.,"card, attention, morning, data, different",798236,13466,1,Low,65+
145,Vehicle Insurance Plan 325,Vehicle,Herself affect tell international possible win buy system someone finish director sister peace become half.,"exist, do, lose, school, result",53326,7791,15,Low,31-50
146,Home Insurance Plan 138,Home,Toward think condition region name base and interest find candidate suggest finally make whatever.,"choice, experience, likely, fear, sound",1981471,44827,10,Medium,18-30
147,Life Insurance Plan 809,Life,Produce how scientist cell open door speech eye campaign.,"store, team, health, Mr, although",440059,34567,20,Low,31-50
148,Travel Insurance Plan 398,Travel,Ask east article dog certain little table.,"somebody, finally, arrive, modern, street",1860583,18052,5,Medium,18-30
149,Health Insurance Plan 119,Health,Air image among PM sort whether water technology visit reality notice rock ahead PM determine.,"she, evening, enjoy, character, top",750521,35085,15,Medium,51-65
150,Education Insurance Plan 899,Education,Five out real threat dinner hold let government dinner Mrs movie.,"less, itself, face, provide, old",993048,1474,1,High,18-30
151,Travel Insurance Plan 618,Travel,Onto forget performance cup seven clearly send option authority by all forget.,"collection, top, away, interview, system",101291,9265,10,Low,65+
152,Health Insurance Plan 275,Health,Foot table agency statement new management get view relate spring really popular dark story.,"happen, machine, energy, leg, type",1804934,49176,10,Medium,51-65
153,Travel Insurance Plan 730,Travel,Among bed sister letter song right number try some.,"rate, trip, owner, religious, central",1341818,2646,15,High,65+
154,Education Insurance Plan 396,Education,Choose who improve minute easy size especially race huge talk week media no particular cold agency.,"new, despite, shoulder, poor, maintain",1499769,39926,5,High,31-50
155,Vehicle Insurance Plan 404,Vehicle,Street mission economy father ball there idea should employee happy as civil again beat.,"school, society, full, expect, ahead",237206,36647,20,Medium,18-30
156,Life Insurance Plan 229,Life,There including food perform beyond short sort condition senior check great debate food yeah what.,"industry, despite, apply, chair, young",1932859,47336,1,High,18-30
157,Life Insurance Plan 833,Life,Data any college worry official discussion hotel four which.,"believe, write, ahead, way, after",979577,39277,15,High,65+
158,Health Insurance Plan 350,Health,Most example end vote strategy career natural most.,"time, player, measure, support, raise",638171,38978,20,High,31-50
159,Home Insurance Plan 799,Home,Wife decision cover though difficult Democrat nice education race discuss particularly camera series.,"spend, central, everybody, part, art",656047,25880,15,Medium,51-65
160,Education Insurance Plan 968,Education,Something sound million until other question great carry.,"note, drive, first, well, what",1334166,14221,1,Medium,18-30
161,Life Insurance Plan 388,Life,Likely run report stock show four would marriage determine.,"lawyer, candidate, boy, at, stage",1203998,30214,10,Low,18-30
162,Home Insurance Plan 350,Home,Blood goal long impact law year participant someone although nation.,"officer, list, play, close, soon",1214743,37724,20,Medium,31-50
163,Vehicle Insurance Plan 142,Vehicle,Wall name whose society air family attack.,"seven, pretty, add, bed, drive",1892552,37426,1,Medium,65+
164,Health Insurance Plan 834,Health,Your newspaper arrive necessary win hair carry than trial still my.,"letter, relationship, address, letter, man",70183,10292,20,Medium,51-65
165,Life Insurance Plan 688,Life,Skill argue administration ten present bag meet technology protect.,"professional, newspaper, author, up, director",853774,16260,5,Low,51-65
166,Life Insurance Plan 663,Life,Perhaps run again offer ago TV tonight experience too network show air stock talk dog enter.,"me, where, evening, speak, federal",803728,26240,1,Low,18-30
167,Home Insurance Plan 393,Home,Skin about wear evening consumer teach under available rule general data parent card appear suddenly.,"yard, too, kitchen, sometimes, leg",144412,11856,5,Medium,18-30
168,Education Insurance Plan 699,Education,Here no fish feel sometimes our later great.,"amount, sell, central, would, top",1577524,32957,1,Medium,65+
169,Life Insurance Plan 666,Life,City beyond school mention control professional east ball us firm eight bad board some protect consider.,"suddenly, staff, decade, if, suggest",1846258,35687,5,High,65+
170,Vehicle Insurance Plan 418,Vehicle,Look role ground wonder some road interest treat her likely.,"attention, everything, outside, push, address",1919723,9946,15,Low,65+
171,Travel Insurance Plan 365,Travel,Half bring half here assume two design general hotel.,"up, Democrat, company, name, thought",377700,21580,10,High,31-50
172,Education Insurance Plan 786,Education,Morning either charge set certainly left local open behavior Democrat nearly production between when.,"direction, personal, piece, future, on",1519587,15122,20,Medium,31-50
173,Home Insurance Plan 126,Home,Forget herself too fish standard ago design big tree property begin piece.,"control, consumer, participant, war, hundred",1451964,7882,5,High,18-30
174,Health Insurance Plan 959,Health,Let word class event blue policy federal official.,"buy, upon, head, line, year",956631,36480,5,Medium,31-50
175,Vehicle Insurance Plan 347,Vehicle,During for make hand democratic heavy but move.,"good, information, fear, attorney, identify",178863,47008,15,High,18-30
176,Home Insurance Plan 238,Home,Remember article land we last take policy gun door field across run perform join whether total.,"should, former, available, paper, face",1087364,22952,20,Medium,31-50
177,Travel Insurance Plan 772,Travel,Piece once long official medical read network modern wind smile tell teacher I relate why.,"green, rate, short, safe, share",1306908,5513,10,Medium,65+
178,Travel Insurance Plan 613,Travel,Floor door ready ten treat attorney baby value or though personal man address exactly.,"move, property, camera, else, the",1345264,18637,20,High,18-30
179,Life Insurance Plan 279,Life,Table employee person enjoy available task firm chance fish hear money forward former line.,"lose, station, material, live, people",354660,16832,5,Low,18-30
180,Health Insurance Plan 742,Health,Situation standard market fall point type anyone section clearly religious capital police lawyer experience want.,"center, poor, upon, education, office",1450099,25264,5,Medium,65+
181,Home Insurance Plan 872,Home,Where protect understand or lose human million matter think by create state exist against floor three.,"accept, war, drug, make, a",1823080,4223,5,Medium,31-50
182,Education Insurance Plan 418,Education,Mouth scene side head his case toward.,"various, southern, member, small, number",90841,30203,5,Medium,65+
183,Travel Insurance Plan 961,Travel,Walk able them language much paper course determine manager ball join establish.,"later, indeed, economy, kind, design",1972395,2617,5,Low,31-50
184,Health Insurance Plan 242,Health,Hotel read business check son ok director radio theory more hard finally.,"help, kitchen, information, physical, significant",1986738,41670,10,High,18-30
185,Travel Insurance Plan 409,Travel,Ahead perform wish thank improve plant couple significant meeting try their although huge.,"another, word, second, whose, whether",385771,32683,10,High,65+
186,Travel Insurance Plan 587,Travel,Service effect point expert much ever live police simply lawyer call season forget.,"remember, mother, age, material, edge",1625347,30596,15,Low,18-30
187,Health Insurance Plan 136,Health,By exactly chance many film top major.,"phone, crime, himself, pass, popular",773944,29750,1,High,51-65
188,Vehicle Insurance Plan 381,Vehicle,Shake player me should mouth form operation north by.,"game, appear, pattern, color, story",851555,36378,20,Low,65+
189,Home Insurance Plan 503,Home,Throughout president understand option cup however black rate trial.,"perhaps, Mr, those, south, quality",753945,18545,1,Low,18-30
190,Travel Insurance Plan 349,Travel,Writer region too foreign involve concern concern property ten current order poor attention direction source tonight.,"memory, thank, science, sound, understand",1518070,10021,5,High,65+
191,Education Insurance Plan 944,Education,Me safe camera action interest store quickly.,"without, serious, government, free, organization",821007,26379,20,Low,18-30
192,Travel Insurance Plan 545,Travel,Seat trip oil today build whole law run best every quickly season girl number item Republican.,"suggest, summer, idea, many, animal",1424491,27719,10,High,18-30
193,Vehicle Insurance Plan 130,Vehicle,Save check significant discover buy physical cell for institution better we business tell.,"develop, miss, no, middle, worry",1111011,37255,1,Medium,18-30
194,Life Insurance Plan 832,Life,Wear prepare cold top difficult those make listen bill.,"may, base, explain, gun, threat",369194,21114,20,Medium,51-65
195,Home Insurance Plan 199,Home,Then address yes her he they require end young attention finally chance role soon option.,"return, forward, also, indeed, offer",1349895,33431,5,Medium,51-65
196,Vehicle Insurance Plan 629,Vehicle,Read those realize agent good explain article first maintain few worker live Mr fear.,"great, sign, offer, join, dream",1064401,26861,1,Medium,65+
197,Travel Insurance Plan 223,Travel,Fund look result star company beyond eight water knowledge good doctor key push.,"our, price, couple, always, appear",175316,46408,15,Low,31-50
198,Home Insurance Plan 934,Home,Man perhaps name time eye exist fall change general network key do current billion.,"may, speech, exactly, fine, enjoy",516101,991,5,Low,65+
